Wall time,Step,Value
1565964654.615484,4640,0.56640625
1565964657.715719,4670,0.56640625
1565964658.7647684,4680,0.59765625
1565964664.0158365,4730,0.609375
1565964665.0732682,4740,0.56640625
1565964676.5561278,4850,0.57421875
1565964679.6769645,4880,0.6171875
1565964680.731035,4890,0.62109375
1565964682.8204722,4910,0.56640625
1565964684.9045799,4930,0.6328125
1565964688.0459123,4960,0.5859375
1565964699.6657038,5070,0.6171875
1565964703.8469975,5110,0.671875
1565964704.8863578,5120,0.61328125
1565964706.9645185,5140,0.625
1565964710.0584013,5170,0.6015625
1565964712.1288002,5190,0.60546875
1565964717.3683681,5240,0.62890625
1565964718.399679,5250,0.6015625
1565964724.578682,5310,0.5859375
1565964726.6531935,5330,0.625
1565964727.6927345,5340,0.60546875
1565964728.7451162,5350,0.60546875
1565964729.7865784,5360,0.6875
1565964730.829895,5370,0.59765625
1565964731.883439,5380,0.64453125
1565964733.9728334,5400,0.63671875
1565964736.051825,5420,0.625
1565964741.2181618,5470,0.59375
1565964742.263139,5480,0.5625
1565964743.3120506,5490,0.59765625
1565964745.4265697,5510,0.58203125
1565964749.621846,5550,0.58984375
1565964751.7165146,5570,0.66015625
1565964753.7985876,5590,0.59375
1565964758.2603655,5630,0.71484375
1565964759.3051748,5640,0.609375
1565964760.3365483,5650,0.609375
1565964764.5240207,5690,0.5703125
1565964768.7256236,5730,0.65234375
1565964769.766006,5740,0.60546875
1565964772.8326688,5770,0.6015625
1565964774.921988,5790,0.65625
1565964775.9853523,5800,0.625
1565964777.008588,5810,0.59375
1565964778.0554166,5820,0.5546875
1565964779.1082387,5830,0.59765625
1565964780.15853,5840,0.5625
1565964782.2621133,5860,0.6875
1565964783.30797,5870,0.59765625
1565964788.4839191,5920,0.625
1565964789.5243788,5930,0.60546875
1565964792.6882298,5960,0.578125
1565964793.7350547,5970,0.625
1565964796.897648,6000,0.63671875
1565964799.252409,6020,0.625
1565964803.4470687,6060,0.60546875
1565964805.481253,6080,0.65234375
1565964807.604624,6100,0.63671875
1565964809.701694,6120,0.62890625
1565964812.7510285,6150,0.66015625
1565964816.8134403,6190,0.625
1565964817.8581934,6200,0.609375
1565964819.9096096,6220,0.65234375
1565964823.0417724,6250,0.640625
1565964827.2092237,6290,0.640625
1565964832.462925,6340,0.625
1565964839.8014143,6410,0.6171875
1565964840.8342838,6420,0.62109375
1565964842.8394482,6440,0.58203125
1565964843.8687124,6450,0.6875
1565964844.9062598,6460,0.61328125
1565964845.945935,6470,0.60546875
1565964848.0403798,6490,0.59765625
1565964851.1291919,6520,0.62890625
1565964855.3205938,6560,0.55078125
1565964856.3847067,6570,0.63671875
1565964860.592864,6610,0.62890625
1565964863.7274823,6640,0.640625
1565964867.8976998,6680,0.61328125
1565964871.0055928,6710,0.6171875
1565964872.0594437,6720,0.65625
1565964873.1018007,6730,0.6328125
1565964874.1320896,6740,0.6328125
1565964875.1890697,6750,0.64453125
1565964877.2957933,6770,0.6640625
1565964878.320551,6780,0.6171875
1565964879.3805892,6790,0.65234375
1565964881.746015,6810,0.62890625
1565964882.7420347,6820,0.6328125
1565964883.7815487,6830,0.6484375
1565964884.8050015,6840,0.60546875
1565964886.9004924,6860,0.640625
1565964888.9746945,6880,0.5703125
1565964890.0048127,6890,0.59375
1565964897.3323164,6960,0.625
1565964900.4065065,6990,0.640625
1565964901.4770904,7000,0.640625
1565964902.7806065,7010,0.6328125
1565964904.850656,7030,0.66796875
1565964907.95231,7060,0.62109375
1565964910.0670574,7080,0.64453125
1565964912.161484,7100,0.671875
1565964916.4356568,7140,0.65625
1565964920.5616648,7180,0.65625
1565964923.7067187,7210,0.61328125
1565964924.773194,7220,0.69921875
1565964925.83526,7230,0.67578125
1565964926.8883471,7240,0.66796875
1565964927.9331875,7250,0.6484375
1565964933.1611116,7300,0.65625
1565964939.376344,7360,0.71484375
1565964941.4444597,7380,0.60546875
1565964942.4471378,7390,0.6796875
1565964943.5070689,7400,0.65234375
1565964946.63435,7430,0.65625
1565964949.7229202,7460,0.625
1565964950.7393029,7470,0.6640625
1565964953.8629363,7500,0.69140625
