Wall time,Step,Value
1565733970.8535416,5650,0.51953125
1565733974.997592,5690,0.48828125
1565733979.0831835,5730,0.51171875
1565733980.1267033,5740,0.546875
1565733983.2510529,5770,0.5546875
1565733985.3201306,5790,0.484375
1565733986.385956,5800,0.5859375
1565733987.4413543,5810,0.53125
1565733988.493374,5820,0.50390625
1565733989.5299416,5830,0.42578125
1565733990.5670779,5840,0.5625
1565733992.6411214,5860,0.4765625
1565733993.677777,5870,0.52734375
1565733998.9033957,5920,0.5390625
1565733999.9389656,5930,0.484375
1565734003.065069,5960,0.484375
1565734004.1029809,5970,0.48046875
1565734007.2655451,6000,0.50390625
1565734009.723062,6020,0.46484375
1565734013.8613865,6060,0.515625
1565734015.9658504,6080,0.51953125
1565734018.0511708,6100,0.453125
1565734020.1155143,6120,0.49609375
1565734023.2536552,6150,0.50390625
1565734027.4498868,6190,0.515625
1565734028.5134175,6200,0.5234375
1565734030.602627,6220,0.4921875
1565734033.7044797,6250,0.484375
1565734037.9028838,6290,0.5
1565734043.0954604,6340,0.50390625
1565734050.3593342,6410,0.54296875
1565734051.3557122,6420,0.4921875
1565734053.4324195,6440,0.50390625
1565734054.4837344,6450,0.52734375
1565734055.5401392,6460,0.5546875
1565734056.590464,6470,0.53125
1565734058.6941144,6490,0.49609375
1565734061.8347163,6520,0.5625
1565734066.049242,6560,0.51953125
1565734067.1007926,6570,0.55859375
1565734071.2396142,6610,0.4765625
1565734074.28934,6640,0.53515625
1565734078.4181743,6680,0.5703125
1565734081.5869937,6710,0.51171875
1565734082.6186697,6720,0.49609375
1565734083.6265192,6730,0.60546875
1565734084.6674862,6740,0.51171875
1565734085.7149587,6750,0.515625
1565734087.8123512,6770,0.58984375
1565734088.8437698,6780,0.56640625
1565734089.8832846,6790,0.5390625
1565734092.0069833,6810,0.5390625
1565734093.0401711,6820,0.49609375
1565734094.051022,6830,0.5234375
1565734095.0682356,6840,0.51171875
1565734097.1297648,6860,0.54296875
1565734099.2197344,6880,0.52734375
1565734100.257361,6890,0.5078125
1565734107.5567813,6960,0.55078125
1565734110.6865547,6990,0.5546875
1565734111.7117257,7000,0.546875
1565734113.018011,7010,0.53515625
1565734115.0576632,7030,0.59375
1565734118.0653737,7060,0.54296875
1565734120.1393883,7080,0.51953125
1565734122.2705407,7100,0.5625
1565734126.4646416,7140,0.53515625
1565734130.6758132,7180,0.55078125
1565734133.7961044,7210,0.48828125
1565734134.788742,7220,0.53125
1565734135.8143246,7230,0.5
1565734136.8604918,7240,0.48046875
1565734137.9070742,7250,0.5625
1565734143.0981631,7300,0.5
1565734149.3556452,7360,0.5859375
1565734151.4389515,7380,0.5390625
1565734152.4875853,7390,0.52734375
1565734153.550307,7400,0.578125
1565734156.7642503,7430,0.52734375
1565734159.9126713,7460,0.515625
1565734160.9558973,7470,0.515625
1565734164.1396544,7500,0.4609375
1565734165.1935103,7510,0.53125
1565734166.2471478,7520,0.55078125
1565734168.3132818,7540,0.546875
1565734170.4066424,7560,0.52734375
1565734176.5721724,7620,0.48828125
