,dataset,bin,smmax,smmax,smmax,smmax,smmax,smmax,smmax
sm,,,0,1,2,3,4,5,6
77,FSS 72h d,0.800000011920929,2661.0,2668.0,2691.0,2787.0,2940.0,3055.0,3199.0
85,FSS 72h e,0.800000011920929,2641.0,2644.0,2649.0,2718.0,2897.0,3135.0,3237.0
93,FSS 72h f,0.800000011920929,868.0,875.0,885.0,915.0,970.0,1006.0,1062.0
101,LPS 24h a,0.800000011920929,2674.0,2679.0,2692.0,2732.0,3025.0,3193.0,3355.0
109,LPS 24h b,0.800000011920929,2173.0,2176.0,2178.0,2224.0,2442.0,2561.0,2663.0
117,LPS 24h c,0.800000011920929,2501.0,2503.0,2512.0,2561.0,2783.0,2923.0,3075.0
125,LPS 24h d,0.800000011920929,2672.0,2675.0,2688.0,2741.0,2968.0,3131.0,3307.0
133,LPS 24h e,0.800000011920929,2763.0,0.0,2770.0,2802.0,3059.0,3254.0,3374.0
141,LPS 24h f,0.800000011920929,2419.0,2427.0,2439.0,2518.0,2698.0,2821.0,2956.0
149,LPS 72h a,0.800000011920929,2542.0,2546.0,2556.0,2604.0,2931.0,3059.0,3250.0
157,LPS 72h b,0.800000011920929,2468.0,2469.0,2475.0,2556.0,2782.0,2871.0,3009.0
165,LPS 72h c,0.800000011920929,2501.0,2506.0,2511.0,2572.0,2790.0,2908.0,3046.0
173,LPS 72h d,0.800000011920929,2802.0,2803.0,2812.0,2902.0,3145.0,3294.0,3449.0
181,LPS 72h e,0.800000011920929,2769.0,2774.0,2785.0,2847.0,3059.0,3260.0,3425.0
189,LPS 72h f,0.800000011920929,2418.0,2421.0,2427.0,2478.0,2679.0,2786.0,2930.0
6,FSS 24h a,0.8999999761581421,2946.0,2950.0,2955.0,3020.0,3321.0,3417.0,3515.0
14,FSS 24h b,0.8999999761581421,3133.0,3135.0,3139.0,3182.0,3563.0,3601.0,3791.0
22,FSS 24h c,0.8999999761581421,3575.0,3578.0,3591.0,3687.0,3889.0,3988.0,4173.0
30,FSS 24h d,0.8999999761581421,3999.0,4002.0,4012.0,4116.0,4442.0,4631.0,4785.0
38,FSS 24h e,0.8999999761581421,3590.0,3598.0,3603.0,3682.0,3954.0,4107.0,4248.0
46,FSS 24h f,0.8999999761581421,3702.0,3707.0,3713.0,3775.0,3999.0,4228.0,4384.0
54,FSS 72h a,0.8999999761581421,3291.0,3296.0,3300.0,3366.0,3622.0,3719.0,3884.0
62,FSS 72h b,0.8999999761581421,3335.0,0.0,3348.0,3462.0,3890.0,3968.0,4102.0
70,FSS 72h c,0.8999999761581421,2571.0,2577.0,2589.0,2681.0,2808.0,2874.0,2970.0
78,FSS 72h d,0.8999999761581421,3695.0,3699.0,3714.0,3865.0,4074.0,4224.0,4378.0
86,FSS 72h e,0.8999999761581421,3702.0,3705.0,3712.0,3778.0,4042.0,4301.0,4427.0
94,FSS 72h f,0.8999999761581421,1230.0,1234.0,1244.0,1287.0,1341.0,1371.0,1429.0
102,LPS 24h a,0.8999999761581421,3693.0,3698.0,3719.0,3777.0,4248.0,4423.0,4586.0
110,LPS 24h b,0.8999999761581421,3075.0,0.0,3077.0,3142.0,3450.0,3553.0,3673.0
118,LPS 24h c,0.8999999761581421,3554.0,3556.0,3558.0,3608.0,3874.0,4005.0,4153.0
126,LPS 24h d,0.8999999761581421,3780.0,3785.0,3796.0,3870.0,4114.0,4276.0,4443.0
134,LPS 24h e,0.8999999761581421,3801.0,3803.0,3805.0,3857.0,4201.0,4441.0,4570.0
142,LPS 24h f,0.8999999761581421,3388.0,3395.0,3415.0,3510.0,3763.0,3889.0,4023.0
150,LPS 72h a,0.8999999761581421,3562.0,3567.0,3586.0,3658.0,4079.0,4236.0,4472.0
158,LPS 72h b,0.8999999761581421,3488.0,3489.0,3497.0,3575.0,3897.0,4008.0,4172.0
166,LPS 72h c,0.8999999761581421,3556.0,3560.0,3565.0,3611.0,3928.0,4085.0,4216.0
174,LPS 72h d,0.8999999761581421,3912.0,3917.0,3930.0,4084.0,4396.0,4531.0,4699.0
182,LPS 72h e,0.8999999761581421,3903.0,3909.0,3917.0,3983.0,4257.0,4481.0,4640.0
190,LPS 72h f,0.8999999761581421,3439.0,3444.0,3452.0,3503.0,3752.0,3898.0,4043.0
7,FSS 24h a,1.0,6674.0,6678.0,6688.0,6920.0,8073.0,8172.0,8306.0
15,FSS 24h b,1.0,6419.0,6420.0,6425.0,6630.0,8246.0,8266.0,8554.0
23,FSS 24h c,1.0,7454.0,7456.0,7469.0,8003.0,8442.0,8543.0,8822.0
31,FSS 24h d,1.0,6685.0,0.0,6701.0,7312.0,8248.0,8414.0,8587.0
39,FSS 24h e,1.0,6847.0,6854.0,6874.0,7221.0,8147.0,8302.0,8483.0
47,FSS 24h f,1.0,7246.0,7252.0,7266.0,7547.0,8141.0,8378.0,8548.0
55,FSS 72h a,1.0,7312.0,7316.0,7331.0,7590.0,8441.0,8565.0,8829.0
63,FSS 72h b,1.0,5296.0,5303.0,5324.0,5950.0,7763.0,7809.0,7978.0
71,FSS 72h c,1.0,5740.0,5749.0,5775.0,6207.0,6476.0,6538.0,6662.0
79,FSS 72h d,1.0,7172.0,7179.0,7196.0,7890.0,8293.0,8476.0,8654.0
87,FSS 72h e,1.0,6863.0,6866.0,6873.0,7221.0,7865.0,8165.0,8306.0
95,FSS 72h f,1.0,2226.0,2237.0,2256.0,2489.0,2662.0,2693.0,2773.0
103,LPS 24h a,1.0,6080.0,6086.0,6123.0,6462.0,8101.0,8284.0,8501.0
111,LPS 24h b,1.0,6574.0,6575.0,6579.0,6866.0,7904.0,8033.0,8223.0
119,LPS 24h c,1.0,7608.0,7610.0,7624.0,7845.0,8431.0,8532.0,8786.0
127,LPS 24h d,1.0,7068.0,7070.0,7093.0,7483.0,8245.0,8396.0,8630.0
135,LPS 24h e,1.0,6848.0,6850.0,6853.0,7102.0,8097.0,8327.0,8454.0
143,LPS 24h f,1.0,6622.0,6629.0,6649.0,7224.0,7952.0,8109.0,8279.0
151,LPS 72h a,1.0,5826.0,5839.0,5893.0,6304.0,7769.0,7907.0,8359.0
159,LPS 72h b,1.0,6807.0,6811.0,6823.0,7200.0,8269.0,8356.0,8597.0
167,LPS 72h c,1.0,7025.0,7029.0,7040.0,7331.0,8254.0,8410.0,8585.0
175,LPS 72h d,1.0,6678.0,6679.0,6709.0,7463.0,8165.0,8279.0,8514.0
183,LPS 72h e,1.0,6892.0,6896.0,6917.0,7330.0,8036.0,8278.0,8489.0
191,LPS 72h f,1.0,7020.0,0.0,7030.0,7381.0,8103.0,8229.0,8391.0
