,index,sm,smmax,dataset,directory,cell_id,channel
163,7,0,0.8224464,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,296,1
164,8,5,0.7228219,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,386,1
165,9,0,0.94358176,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,469,1
166,10,5,0.61002284,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,483,1
167,11,0,0.9985499,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,533,1
168,12,0,0.9696526,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,542,1
169,13,4,0.832237,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,559,1
170,14,4,0.9928965,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,572,1
171,15,5,0.54137266,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,577,1
172,16,4,0.9710636,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,579,1
173,17,5,0.5043078,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,612,1
174,18,0,0.99743843,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,618,1
175,19,4,0.8160645,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,654,1
176,20,4,0.6118455,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,657,1
177,21,0,0.9970874,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,703,1
178,22,4,0.9453196,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,710,1
179,23,0,0.9929671,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,744,1
180,24,5,0.8022307,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,799,1
181,25,5,0.64909714,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,801,1
182,26,4,0.6685187,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,802,1
183,27,4,0.9895732,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,892,1
184,28,0,0.9659321,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,983,1
185,29,4,0.99779725,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1096,1
186,30,6,0.3183464,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1135,1
187,31,4,0.9730541,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1141,1
