,dataset,probability,cluster,count
1138,LPS 72h d,0.4000000059604645,5,151
1139,LPS 72h d,0.4000000059604645,6,200
1188,LPS 72h e,0.4000000059604645,0,53
1189,LPS 72h e,0.4000000059604645,1,58
1190,LPS 72h e,0.4000000059604645,2,62
1191,LPS 72h e,0.4000000059604645,3,71
1192,LPS 72h e,0.4000000059604645,4,112
1193,LPS 72h e,0.4000000059604645,5,138
1194,LPS 72h e,0.4000000059604645,6,176
1242,LPS 72h f,0.4000000059604645,0,40
1243,LPS 72h f,0.4000000059604645,1,41
1244,LPS 72h f,0.4000000059604645,2,42
1245,LPS 72h f,0.4000000059604645,3,49
1246,LPS 72h f,0.4000000059604645,4,74
1247,LPS 72h f,0.4000000059604645,5,109
1248,LPS 72h f,0.4000000059604645,6,133
12,FSS 24h a,0.5,0,222
13,FSS 24h a,0.5,1,223
14,FSS 24h a,0.5,2,224
15,FSS 24h a,0.5,3,242
16,FSS 24h a,0.5,4,341
17,FSS 24h a,0.5,5,426
18,FSS 24h a,0.5,6,506
65,FSS 24h b,0.5,0,229
66,FSS 24h b,0.5,1,232
67,FSS 24h b,0.5,2,233
68,FSS 24h b,0.5,3,244
69,FSS 24h b,0.5,4,378
70,FSS 24h b,0.5,5,434
71,FSS 24h b,0.5,6,548
117,FSS 24h c,0.5,0,258
118,FSS 24h c,0.5,1,262
119,FSS 24h c,0.5,2,268
120,FSS 24h c,0.5,3,298
121,FSS 24h c,0.5,4,395
122,FSS 24h c,0.5,5,473
123,FSS 24h c,0.5,6,562
173,FSS 24h d,0.5,0,341
174,FSS 24h d,0.5,1,349
175,FSS 24h d,0.5,2,358
176,FSS 24h d,0.5,3,383
177,FSS 24h d,0.5,4,533
178,FSS 24h d,0.5,5,659
179,FSS 24h d,0.5,6,803
225,FSS 24h e,0.5,0,277
226,FSS 24h e,0.5,1,283
227,FSS 24h e,0.5,2,289
228,FSS 24h e,0.5,3,325
229,FSS 24h e,0.5,4,445
230,FSS 24h e,0.5,5,544
231,FSS 24h e,0.5,6,638
276,FSS 24h f,0.5,0,293
277,FSS 24h f,0.5,1,302
278,FSS 24h f,0.5,2,305
279,FSS 24h f,0.5,3,323
280,FSS 24h f,0.5,4,437
281,FSS 24h f,0.5,5,566
282,FSS 24h f,0.5,6,680
331,FSS 72h a,0.5,0,253
332,FSS 72h a,0.5,1,255
333,FSS 72h a,0.5,2,261
334,FSS 72h a,0.5,3,277
335,FSS 72h a,0.5,4,375
336,FSS 72h a,0.5,5,441
337,FSS 72h a,0.5,6,519
386,FSS 72h b,0.5,0,295
387,FSS 72h b,0.5,1,302
388,FSS 72h b,0.5,2,310
389,FSS 72h b,0.5,3,333
390,FSS 72h b,0.5,4,475
391,FSS 72h b,0.5,5,557
392,FSS 72h b,0.5,6,661
440,FSS 72h c,0.5,0,234
441,FSS 72h c,0.5,1,244
442,FSS 72h c,0.5,2,249
443,FSS 72h c,0.5,3,280
444,FSS 72h c,0.5,4,351
445,FSS 72h c,0.5,5,400
446,FSS 72h c,0.5,6,476
495,FSS 72h d,0.5,0,337
496,FSS 72h d,0.5,1,342
497,FSS 72h d,0.5,2,358
498,FSS 72h d,0.5,3,398
499,FSS 72h d,0.5,4,500
500,FSS 72h d,0.5,5,596
501,FSS 72h d,0.5,6,723
551,FSS 72h e,0.5,0,276
552,FSS 72h e,0.5,1,282
553,FSS 72h e,0.5,2,287
554,FSS 72h e,0.5,3,304
555,FSS 72h e,0.5,4,417
556,FSS 72h e,0.5,5,534
557,FSS 72h e,0.5,6,645
602,FSS 72h f,0.5,0,100
603,FSS 72h f,0.5,1,110
604,FSS 72h f,0.5,2,116
605,FSS 72h f,0.5,3,128
606,FSS 72h f,0.5,4,169
607,FSS 72h f,0.5,5,193
608,FSS 72h f,0.5,6,228
655,LPS 24h a,0.5,0,289
656,LPS 24h a,0.5,1,295
657,LPS 24h a,0.5,2,304
658,LPS 24h a,0.5,3,322
659,LPS 24h a,0.5,4,457
660,LPS 24h a,0.5,5,568
661,LPS 24h a,0.5,6,662
709,LPS 24h b,0.5,0,263
710,LPS 24h b,0.5,1,267
711,LPS 24h b,0.5,2,269
712,LPS 24h b,0.5,3,281
713,LPS 24h b,0.5,4,387
714,LPS 24h b,0.5,5,478
715,LPS 24h b,0.5,6,557
761,LPS 24h c,0.5,0,271
762,LPS 24h c,0.5,1,272
763,LPS 24h c,0.5,2,273
764,LPS 24h c,0.5,3,290
765,LPS 24h c,0.5,4,407
766,LPS 24h c,0.5,5,513
767,LPS 24h c,0.5,6,601
816,LPS 24h d,0.5,0,289
817,LPS 24h d,0.5,1,298
818,LPS 24h d,0.5,2,304
819,LPS 24h d,0.5,3,327
820,LPS 24h d,0.5,4,443
821,LPS 24h d,0.5,5,549
822,LPS 24h d,0.5,6,666
871,LPS 24h e,0.5,0,315
872,LPS 24h e,0.5,1,318
873,LPS 24h e,0.5,3,328
874,LPS 24h e,0.5,4,465
875,LPS 24h e,0.5,5,600
876,LPS 24h e,0.5,6,699
923,LPS 24h f,0.5,0,262
924,LPS 24h f,0.5,1,273
925,LPS 24h f,0.5,2,284
926,LPS 24h f,0.5,3,315
927,LPS 24h f,0.5,4,423
928,LPS 24h f,0.5,5,527
929,LPS 24h f,0.5,6,635
976,LPS 72h a,0.5,0,263
977,LPS 72h a,0.5,1,271
978,LPS 72h a,0.5,2,276
