,dataset,treatment,class,bin,low,high,ratio
242,LPS 24h f,2,low,1.0,1.0,103.0,0.009615384615384616
244,LPS 24h f,3,low,1.0,1.0,904.0,0.0011049723756906078
246,LPS 24h f,4,low,,,1603.0,
248,LPS 24h f,5,low,5.0,5.0,794.0,0.006257822277847309
250,LPS 24h f,6,low,1.0,1.0,890.0,0.001122334455667789
252,LPS 72h a,0,low,2.0,2.0,2402.0,0.0008319467554076539
254,LPS 72h a,1,low,3.0,3.0,41.0,0.06818181818181818
256,LPS 72h a,2,low,,,115.0,
258,LPS 72h a,3,low,2.0,2.0,627.0,0.003179650238473768
260,LPS 72h a,4,low,,,2901.0,
262,LPS 72h a,5,low,,,885.0,
264,LPS 72h a,6,low,1.0,1.0,1380.0,0.000724112961622013
266,LPS 72h b,0,low,2.0,2.0,4133.0,0.0004836759371221282
268,LPS 72h b,1,low,3.0,3.0,22.0,0.12
270,LPS 72h b,2,low,1.0,1.0,51.0,0.019230769230769232
272,LPS 72h b,3,low,2.0,2.0,690.0,0.002890173410404624
274,LPS 72h b,4,low,1.0,1.0,2138.0,0.0004675081813931744
276,LPS 72h b,5,low,3.0,3.0,608.0,0.004909983633387889
278,LPS 72h b,6,low,,,943.0,
280,LPS 72h c,0,low,4.0,4.0,4312.0,0.0009267840593141798
282,LPS 72h c,1,low,5.0,5.0,33.0,0.13157894736842105
284,LPS 72h c,2,low,2.0,2.0,56.0,0.034482758620689655
286,LPS 72h c,3,low,1.0,1.0,512.0,0.001949317738791423
288,LPS 72h c,4,low,1.0,1.0,1992.0,0.0005017561465127947
290,LPS 72h c,5,low,1.0,1.0,851.0,0.0011737089201877935
292,LPS 72h c,6,low,2.0,2.0,813.0,0.00245398773006135
294,LPS 72h d,0,low,1.0,1.0,3498.0,0.0002857959416976279
296,LPS 72h d,1,low,,,21.0,
298,LPS 72h d,2,low,,,90.0,
300,LPS 72h d,3,low,,,1182.0,
302,LPS 72h d,4,low,2.0,2.0,1846.0,0.0010822510822510823
304,LPS 72h d,5,low,1.0,1.0,833.0,0.001199040767386091
306,LPS 72h d,6,low,2.0,2.0,1038.0,0.0019230769230769232
308,LPS 72h e,0,low,4.0,4.0,3643.0,0.0010967918837400603
310,LPS 72h e,1,low,1.0,1.0,45.0,0.021739130434782608
312,LPS 72h e,2,low,1.0,1.0,67.0,0.014705882352941176
314,LPS 72h e,3,low,,,668.0,
316,LPS 72h e,4,low,1.0,1.0,1733.0,0.0005767012687427913
318,LPS 72h e,5,low,1.0,1.0,1258.0,0.0007942811755361397
320,LPS 72h e,6,low,3.0,3.0,1064.0,0.0028116213683223993
322,LPS 72h f,0,low,2.0,2.0,4446.0,0.0004496402877697842
324,LPS 72h f,1,low,2.0,2.0,15.0,0.11764705882352941
326,LPS 72h f,2,low,1.0,1.0,42.0,0.023255813953488372
328,LPS 72h f,3,low,,,574.0,
330,LPS 72h f,4,low,,,1640.0,
332,LPS 72h f,5,low,2.0,2.0,784.0,0.002544529262086514
334,LPS 72h f,6,low,1.0,1.0,882.0,0.0011325028312570782
